text,sentiment
"I absolutely love this product","Positive"
"This product is amazing","Positive"
"Excellent quality and fast delivery","Positive"
"I am very happy with my purchase","Positive"
"Great experience with this service","Positive"
"I would definitely recommend this product","Positive"
"The quality is fantastic","Positive"
"Very good service","Positive"
"I really enjoyed using this product","Positive"
"This is the best product I have bought","Positive"
"Very poor quality","Negative"
"I hate this product","Negative"
"The product is terrible","Negative"
"I am disappointed with my purchase","Negative"
"Worst experience ever","Negative"
"I would not recommend this product","Negative"
"The service was horrible","Negative"
"Completely useless product","Negative"
"I regret buying this","Negative"
"Very bad experience","Negative"
"The product arrived today","Neutral"
"The package was delivered yesterday","Neutral"
"I received my order","Neutral"
"The product is available in blue","Neutral"
"The order was placed yesterday","Neutral"
"The package contains two items","Neutral"
"The delivery took three days","Neutral"
"This product comes in different sizes","Neutral"
"The store opens at nine","Neutral"
"The product has a one year warranty","Neutral"
